Country name,Currency name,Currency ISO code
Afghanistan,Afghani,AFN
Albania,Lek,ALL
Algeria,Algerian Dinar,DZD
American Samoa,US Dollar,USD
Andorra,Euro,EUR
Angola,Kwanza,AOA
Anguilla,East Caribbean Dollar,XCD
Antigua and Barbuda,East Caribbean Dollar,XCD
Argentina,Argentine Peso,ARS
Armenia,Armeniam Dram,AMD
Aruba,Aruban Florin,AWG
Australia,Australian Dollar,AUD
Austria,Euro,EUR
Azerbaijan,Azerbaijanian Manat,AZN
Bahamas,Bahamian Dollar,BSD
Bahrain,Bahraini Dinar,BHD
Bangladesh,Taka,BDT
Barbados,Barbados Dollar,BBD
Belarus,Belarusian Ruble,BYN
Belgium,Euro,EUR
Belize,Belize Dollar,BZD
Benin,CFA Franc (BCEAO),XOF
Bermuda,Bermudian Dollar,BMD
Bhutan,Ngultrum,BTN
Bolivia (Plurinat.State),Boliviano,BOB
Bonaire/S.Eustatius/Saba,US Dollar,USD
Bosnia and Herzegovina,Convertible Mark,BAM
Botswana,Pula,BWP
Brazil,Brazilian Real,BRL
British Indian Ocean Ter,US Dollar,USD
British Virgin Islands,US Dollar,USD
Brunei Darussalam,Brunei Dollar,BND
Bulgaria,Bulgarian Lev,BGN
Burkina Faso,CFA Franc (BCEAO),XOF
Burundi,Burundi Franc,BIF
Cabo Verde,Cabo Verde Escudo,CVE
Cambodia,Riel,KHR
Cameroon,CFA Franc (BEAC),XAF
Canada,Canadian Dollar,CAD
Cayman Islands,Cayman Islands Dollar,KYD
Central African Republic,CFA Franc (BEAC),XAF
Chad,CFA Franc (BEAC),XAF
Channel Islands,Pound Sterling,GBP
Chile,Chilean Peso,CLP
China,Yuan Renminbi,CNY
"China, Hong Kong SAR",Hong Kong Dollar,HKD
"China, Macao SAR",Pataca,MOP
Taiwan Province of China,New Taiwan Dollar,TWD
Christmas Island,Australian Dollar,AUD
Cocos (Keeling) Islands,Australian Dollar,AUD
Colombia,Colombian Peso,COP
Comoros,Comoro Franc,KMF
Congo,CFA Franc (BEAC),XAF
"Congo, Dem. Rep. of the",Congolese Franc,CDF
Cook Islands,New Zealand Dollar,NZD
Costa Rica,Costa Rican Colón,CRC
Côte d'Ivoire,CFA Franc (BCEAO),XOF
Croatia,Croatian Kuna,HRK
Cuba,Cuban Peso,CUP
Curaçao,Netherlands Antillian Guilder,ANG
Cyprus,Euro,EUR
Czechia,Czech Koruna,CZK
Denmark,Danish Krone,DKK
Djibouti,Djibouti Franc,DJF
Dominica,East Caribbean Dollar,XCD
Dominican Republic,Dominican Peso,DOP
Ecuador,US Dollar,USD
Egypt,Egyptian Pound,EGP
El Salvador,US Dollar,USD
Equatorial Guinea,CFA Franc (BEAC),XAF
Eritrea,Nakfa,ERN
Estonia,Euro,EUR
Ethiopia,Ethiopian Birr,ETB
Falkland Is.(Malvinas),Falkland Islands Pound,FKP
Faroe Islands,Danish Krone,DKK
"Fiji, Republic of",Fiji Dollar,FJD
Finland,Euro,EUR
France,Euro,EUR
French Guiana,Euro,EUR
French Polynesia,CFP Franc,XPF
French Southern Terr,Euro,EUR
Gabon,CFA Franc (BEAC),XAF
Gambia,Dalasi,GMD
Georgia,Lari,GEL
Germany,Euro,EUR
Ghana,Ghana Cedi,GHS
Gibraltar,Gibraltar Pound,GIP
Greece,Euro,EUR
Greenland,Danish Krone,DKK
Grenada,East Caribbean Dollar,XCD
Guadeloupe,Euro,EUR
Guam,US Dollar,USD
Guatemala,Quetzal,GTQ
Guernsey,Pound Sterling,GBP
Guinea,Guinea Franc,GNF
Guinea-Bissau,CFA Franc (BCEAO),XOF
Guyana,Guyana Dollar,GYD
Haiti,Gourde,HTG
Honduras,Lempira,HNL
Hungary,Forint,HUF
Iceland,Iceland Króna,ISK
India,Indian Rupee,INR
Indonesia,Rupiah,IDR
Iran (Islamic Rep. of),Iranian Rial,IRR
Iraq,Iraqi Dinar,IQD
Ireland,Euro,EUR
Isle of Man,Pound Sterling,GBP
Israel,New Israeli Sheqel,ILS
Italy,Euro,EUR
Jamaica,Jamaican Dollar,JMD
Japan,Yen,JPY
Jersey,Pound Sterling,GBP
Jordan,Jordanian Dinar,JOD
Kazakhstan,Tenge,KZT
Kenya,Kenyan Shilling,KES
Kiribati,Australian Dollar,AUD
"Korea, Dem. People's Rep",North Korean Won,KPW
"Korea, Republic of",Won,KRW
Kuwait,Kuwaiti Dinar,KWD
Kyrgyzstan,Som,KGS
Lao People's Dem. Rep.,Kip,LAK
Latvia,Euro,EUR
Lebanon,Lebanese Pound,LBP
Lesotho,Loti,LSL
Liberia,Liberian Dollar,LRD
Libya,Libyan Dinar,LYD
Liechtenstein,Swiss Franc,CHF
Lithuania,Euro,EUR
Luxembourg,Euro,EUR
"Macedonia, Fmr Yug Rp of",Denar,MKD
Madagascar,Malagasy Ariary,MGA
Malawi,Malawi Kwacha,MWK
Malaysia,Malaysian Ringgit,MYR
Maldives,Rufiyaa,MVR
Mali,CFA Franc (BCEAO),XOF
Malta,Euro,EUR
Marshall Islands,US Dollar,USD
Martinique,Euro,EUR
Mauritania,Ouguiya,MRO
Mauritius,Mauritius Rupee,MUR
Mayotte,Euro,EUR
Mexico,Mexican Peso,MXN
"Micronesia,Fed.States of",US Dollar,USD
"Moldova, Republic of",Moldovan Leu,MDL
Mongolia,Tugrik,MNT
Montenegro,Euro,EUR
Montserrat,East Caribbean Dollar,XCD
Morocco,Moroccan Dirham,MAD
Mozambique,Metical,MZN
Myanmar,Kyat,MMK
Namibia,Namibian Dollar,NAD
Nauru,Australian Dollar,AUD
Nepal,Nepalese Rupee,NPR
Netherlands,Euro,EUR
New Caledonia,CFP Franc,XPF
New Zealand,New Zealand Dollar,NZD
Nicaragua,Córdoba Oro,NIO
Niger,CFA Franc (BCEAO),XOF
Nigeria,Naira,NGN
Niue,New Zealand Dollar,NZD
Northern Mariana Is.,US Dollar,USD
Norway,Norwegian Krone,NOK
Oman,Rial Omani,OMR
Pakistan,Pakistan Rupee,PKR
Palau,US Dollar,USD
Panama,Balboa,PAB
Papua New Guinea,Kina,PGK
Paraguay,Guaraní,PYG
Peru,Sol,PEN
Philippines,Philippine Peso,PHP
Pitcairn Islands,New Zealand Dollar,NZD
Poland,Zloty,PLN
Portugal,Euro,EUR
Puerto Rico,US Dollar,USD
Qatar,Qatari Rial,QAR
Romania,Romanian Leu,RON
Russian Federation,Russian Ruble,RUB
Rwanda,Rwanda Franc,RWF
Saint Barthélemy,Euro,EUR
Saint Helena,Saint Helena Pound,SHP
Saint Kitts and Nevis,East Caribbean Dollar,XCD
Saint Lucia,East Caribbean Dollar,XCD
Saint-Martin,Euro,EUR
St. Pierre and Miquelon,Euro,EUR
Saint Vincent/Grenadines,East Caribbean Dollar,XCD
Samoa,Tala,WST
Sao Tome and Principe,Dobra,STD
Saudi Arabia,Saudi Riyal,SAR
Senegal,CFA Franc (BCEAO),XOF
Serbia,Serbian Dinar,RSD
Seychelles,Seychelles Rupee,SCR
Sierra Leone,Leone,SLL
Singapore,Singapore Dollar,SGD
Sint Maarten,Netherlands Antillian Guilder,ANG
Slovakia,Euro,EUR
Slovenia,Euro,EUR
Solomon Islands,Solomon Islands Dollar,SBD
Somalia,Somali Shilling,SOS
South Africa,Rand,ZAR
South Sudan,South Sudanese Pound,SSP
Spain,Euro,EUR
Sri Lanka,Sri Lanka Rupee,LKR
Sudan,Sudanese Pound,SDG
Suriname,Suriname Dollar,SRD
Swaziland,Lilangeni,SZL
Sweden,Swedish Krona,SEK
Switzerland,Swiss Franc,CHF
Syrian Arab Republic,Syrian Pound,SYP
Tajikistan,Somoni,TJS
"Tanzania, United Rep. of",Tanzanian Shilling,TZS
Thailand,Baht,THB
Timor-Leste,US Dollar,USD
Togo,CFA Franc (BCEAO),XOF
Tokelau,New Zealand Dollar,NZD
Tonga,Pa'anga,TOP
Trinidad and Tobago,Trinidad and Tobago Dollar,TTD
Tunisia,Tunisian Dinar,TND
Turkey,Turkish Lira,TRY
Turkmenistan,Turkmenistan New Manat,TMT
Turks and Caicos Is.,US Dollar,USD
Tuvalu,Australian Dollar,AUD
Uganda,Uganda Shilling,UGX
Ukraine,Hryvnia,UAH
United Arab Emirates,UAE Dirham,AED
United Kingdom,Pound Sterling,GBP
United States of America,US Dollar,USD
US Virgin Islands,US Dollar,USD
Uruguay,Peso Uruguayo,UYU
Uzbekistan,Uzbekistan Sum,UZS
Vanuatu,Vatu,VUV
"Venezuela, Boliv Rep of",Bolívar,VEF
Viet Nam,Dong,VND
Wallis and Futuna Is.,CFP Franc,XPF
Western Sahara,Moroccan Dirham,MAD
Yemen,Yemeni Rial,YER
Zambia,Zambian Kwacha,ZMW
Zimbabwe,Zimbabwe Dollar,ZWL